                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.18% (0.77%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.08% (1.71%) * |  3.43% (0.57%) * |  1.45% (0.36%) * |  1.32% (0.32%) * |  0.76% (0.25%) *
audiology       |     74.77% | 61.50% (4.91%) * | 45.83% (4.98%) * | 30.04% (2.47%) * | 21.98% (2.27%) * | 23.05% (1.57%) *
autos           |     67.35% | 69.00% (5.39%)   | 44.83% (5.71%) * | 33.32% (3.76%) * | 28.61% (3.56%) * | 21.84% (2.83%) *
credit-a        |     44.49% | 20.52% (2.46%) * | 12.66% (1.74%) * | 19.96% (1.85%) * | 19.44% (0.99%) * | 19.19% (1.14%) *
hypothyroid     |      7.71% |  3.00% (0.27%) * |  1.62% (0.21%) * |  0.66% (0.06%) * |  0.73% (0.12%) * |  0.61% (0.06%) *
letter          |     96.26% | 28.87% (0.52%) * | 21.58% (0.47%) * | 16.41% (0.25%) * | 13.28% (0.12%) * | 11.79% (0.14%) *
microarray      |     50.20% | 50.43% (4.04%)   | 51.31% (3.64%)   | 50.87% (2.16%)   | 46.67% (1.92%) * | 49.52% (1.65%)  
vote            |     38.63% | 13.95% (3.10%) * |  5.73% (1.66%) * |  6.96% (1.11%) * |  3.25% (0.47%) * |  5.91% (0.58%) *

